[INFO][main][2018-03-28 17:24:14][us.codecraft.webmagic.Spider] - Spider mm.taobao.com started!
 [INFO][pool-1-thread-8][2018-03-28 17:24:58][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=81
 [INFO][pool-1-thread-7][2018-03-28 17:25:03][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=82
 [INFO][pool-1-thread-5][2018-03-28 17:25:03][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=83
 [INFO][pool-1-thread-2][2018-03-28 17:25:03][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=84
 [INFO][pool-1-thread-4][2018-03-28 17:25:03][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=87
 [INFO][pool-1-thread-1][2018-03-28 17:25:03][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=85
 [INFO][pool-1-thread-9][2018-03-28 17:25:03][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=88
 [INFO][pool-1-thread-6][2018-03-28 17:25:03][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=89
 [INFO][pool-1-thread-10][2018-03-28 17:25:03][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=86
 [INFO][pool-1-thread-3][2018-03-28 17:25:03][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=90
 [INFO][pool-1-thread-8][2018-03-28 17:25:03][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=91
 [INFO][pool-1-thread-7][2018-03-28 17:25:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=92
